date,day,personnel,POW,drone,naval ship,aircraft,helicopter,tank
25/02/2022,2,2800,0,0,2,10,7,80
26/02/2022,3,4300,0,2,2,27,26,146
27/02/2022,4,4500,0,2,2,27,26,150
28/02/2022,5,5300,0,3,2,29,29,150
01/03/2022,6,5710,200,3,2,29,29,198
02/03/2022,7,5840,200,3,2,30,31,211
03/03/2022,8,9000,200,3,2,30,31,217
04/03/2022,9,9166,200,3,2,33,37,251
05/03/2022,10,10000,216,3,2,39,40,269
06/03/2022,11,11000,232,4,2,44,48,285
07/03/2022,12,11000,259,7,3,46,68,290
08/03/2022,13,12000,284,7,3,48,80,303
09/03/2022,14,12000,360,7,3,49,81,317
10/03/2022,15,12000,371,7,3,49,81,335
11/03/2022,16,12000,389,7,3,57,83,353
12/03/2022,17,12000,389,7,3,58,83,362
13/03/2022,18,12000,389,7,3,74,86,374
14/03/2022,19,12000,389,8,3,77,90,389
15/03/2022,20,13500,389,9,3,81,95,404
16/03/2022,21,13800,389,11,3,84,108,430
17/03/2022,22,14000,405,11,3,86,108,444
18/03/2022,23,14200,405,12,3,93,112,450
19/03/2022,24,14400,405,17,3,95,115,466
20/03/2022,25,14700,405,21,3,96,118,476
21/03/2022,26,15000,405,24,3,97,121,498
22/03/2022,27,15300,411,35,3,99,123,509
23/03/2022,28,15600,412,42,4,101,124,517
24/03/2022,29,15800,412,50,4,108,124,530
25/03/2022,30,16100,412,53,5,115,125,561
26/03/2022,31,16400,412,56,7,117,127,575
27/03/2022,32,16600,421,56,7,121,127,582
28/03/2022,33,17000,421,66,7,123,127,586
29/03/2022,34,17200,430,71,7,127,129,597
30/03/2022,35,17300,430,81,7,131,131,605
31/03/2022,36,17500,459,83,7,135,131,614
01/04/2022,37,17700,459,85,7,143,131,625
02/04/2022,38,17700,460,87,7,143,134,631
03/04/2022,39,18000,460,89,7,143,134,644
04/04/2022,40,18300,460,91,7,147,134,647
05/04/2022,41,18500,467,94,7,150,134,676
06/04/2022,42,18600,467,96,7,150,135,684
07/04/2022,43,18900,467,111,7,150,135,698
08/04/2022,44,19000,467,112,7,150,135,700
09/04/2022,45,19100,467,112,7,151,136,705
10/04/2022,46,19300,467,112,7,152,137,722
11/04/2022,47,19500,467,119,7,154,137,725
12/04/2022,48,19600,477,124,7,157,140,732
13/04/2022,49,19800,477,132,7,158,143,739
14/04/2022,50,19900,477,134,7,160,144,753
15/04/2022,51,20000,477,135,8,163,144,756
16/04/2022,52,20100,477,138,8,163,145,762
17/04/2022,53,20300,477,148,8,165,146,773
18/04/2022,54,20600,477,155,8,167,147,790
19/04/2022,55,20800,489,158,8,169,150,802
20/04/2022,56,20900,489,165,8,171,150,815
21/04/2022,57,21000,489,166,8,172,151,829
22/04/2022,58,21200,489,172,8,176,153,838
23/04/2022,59,21600,489,182,8,177,154,854
24/04/2022,60,21800,489,191,8,179,154,873
25/04/2022,61,21900,489,201,8,181,154,884
26/04/2022,62,22100,489,205,8,184,154,918
27/04/2022,63,22400,496,207,8,185,155,939
28/04/2022,64,22800,496,215,8,187,155,970
29/04/2022,65,23000,496,229,8,189,155,986
30/04/2022,66,23200,496,232,8,190,155,1008
01/05/2022,67,23500,496,245,8,192,155,1026
02/05/2022,68,23800,496,271,8,194,155,1048
03/05/2022,69,24200,496,291,10,194,155,1062
04/05/2022,70,24500,496,303,10,194,155,1077
05/05/2022,71,24700,496,312,10,196,155,1092
06/05/2022,72,24900,496,324,11,199,155,1110
07/05/2022,73,25100,496,341,11,199,155,1122
08/05/2022,74,25500,496,360,12,199,156,1130
09/05/2022,75,25650,496,377,12,199,158,1145
10/05/2022,76,26000,498,380,12,199,158,1170
11/05/2022,77,26350,498,390,12,199,160,1187
12/05/2022,78,26650,498,398,13,199,161,1195
13/05/2022,79,26900,498,405,13,200,162,1205
14/05/2022,80,27200,498,411,13,200,163,1218
15/05/2022,81,27400,498,416,13,200,164,1220
16/05/2022,82,27700,498,427,13,200,165,1228
17/05/2022,83,27900,498,436,13,201,167,1235
18/05/2022,84,28300,498,441,13,202,167,1251
19/05/2022,85,28500,498,455,13,203,167,1254
20/05/2022,86,28700,498,460,13,204,168,1263
